,name,chamber,party,screen_name,account_type
0,Don Young,house,R,repdonyoung,office
1,Don Young,house,R,DonYoungAK,campaign
2,Bradley Byrne,house,R,BradleyByrne,campaign
3,Bradley Byrne,house,R,RepByrne,office
4,Felix Moore,house,R,BarryMoore,campaign
5,Felix Moore,house,R,RepBarryMoore,office
6,Gary Palmer,house,R,Palmer4Alabama,campaign
7,Gary Palmer,house,R,USRepGaryPalmer,office
8,Jerry Carl,house,R,CarlForAlabama,campaign
9,Jerry Carl,house,R,RepJerryCarl,office
10,Martha Roby,house,R,TeamRoby,campaign
11,Martha Roby,house,R,MarthaRobyAL,office
12,Mike Rogers,house,R,RepMikeRogersAL,office
13,Mike Rogers,house,R,MikeRogersCamp,campaign
14,Mo Brooks,house,R,Mobrooks,campaign
15,Mo Brooks,house,R,RepMoBrooks,office
16,Robert Aderholt,house,R,Robert_Aderholt,office
17,Robert Aderholt,house,R,CongAderholt,campaign
18,Terri Sewell,house,D,Sewell4Congress,campaign
19,Terri Sewell,house,D,RepTerriSewell,office
20,Bruce Westerman,house,R,bruce_westerman,campaign
21,Bruce Westerman,house,R,WestermanAR,campaign
22,Bruce Westerman,house,R,RepWesterman,office
23,French Hill,house,R,ElectFrench,campaign
24,French Hill,house,R,RepFrenchHill,office
25,Rick Crawford,house,R,Crawford4Cong,campaign
26,Rick Crawford,house,R,RepRickCrawford,office
27,Steve Womack,house,R,womack4congress,campaign
28,Steve Womack,house,R,rep_stevewomack,office
29,Amata Coleman Radewagen,house,R,RepAmata,office
30,Andy Biggs,house,R,RepAndyBiggsAZ,office
31,Andy Biggs,house,R,andybiggs4az,campaign
32,Ann Kirkpatrick,house,D,Ann_Kirkpatrick,campaign
33,Ann Kirkpatrick,house,D,RepKirkpatrick,office
34,David Schweikert,house,R,DavidSchweikert,campaign
35,David Schweikert,house,R,RepDavid,office
36,Debbie Lesko,house,R,DebbieLesko,campaign
37,Debbie Lesko,house,R,RepDLesko,office
38,Greg Stanton,house,D,gregstantonaz,campaign
39,Greg Stanton,house,D,RepGregStanton,office
40,Paul Gosar,house,R,RepGosar,office
41,Paul Gosar,house,R,DrPaulGosar,campaign
42,Raul Grijalva,house,D,RepRaulGrijalva,office
43,Raul Grijalva,house,D,standwithraul,campaign
44,Ruben Gallego,house,D,RubenGallego,campaign
45,Ruben Gallego,house,D,RepRubenGallego,office
46,Tom O'Halleran,house,D,TomOHalleran,campaign
47,Tom O'Halleran,house,D,RepOHalleran,office
48,Trent Franks,house,R,RepTrentFranks,office
49,Adam Schiff,house,D,RepAdamSchiff,office
50,Adam Schiff,house,D,AdamSchiff,campaign
51,Alan Lowenthal,house,D,alanlowenthal,campaign
52,Alan Lowenthal,house,D,RepLowenthal,office
53,Ami Bera,house,D,BeraForCongress,campaign
54,Ami Bera,house,D,RepBera,office
55,Anna Eshoo,house,D,RepAnnaEshoo,office
56,Anna Eshoo,house,D,Eshoo4Congress,campaign
57,Barbara Lee,house,D,BarbaraLeeSays,campaign
58,Barbara Lee,house,D,RepBarbaraLee,office
59,Barbara Lee,house,D,BLeeForCongress,campaign
60,Brad Sherman,house,D,BradSherman,office
61,Brad Sherman,house,D,BradSherman4SFV,campaign
62,Dana Rohrabacher,house,R,DanaRohrabacher,campaign
63,Dana Rohrabacher,house,R,RepRohrabacher,office
64,Darrell Issa,house,R,DarrellIssa,office
65,Darrell Issa,house,R,repdarrellissa,campaign
66,David Valadao,house,R,dgvaladao,campaign
67,David Valadao,house,R,RepDavidValadao,office
68,Devin Nunes,house,R,DevinNunes,office
69,Devin Nunes,house,R,RepDevinNunes,office
70,Devin Nunes,house,R,DevinGNunes,campaign
71,Doris Matsui,house,D,DorisMatsui,office
72,Doris Matsui,house,D,Matsui4Congress,campaign
73,Doug LaMalfa,house,R,DougLaMalfa,campaign
74,Doug LaMalfa,house,R,RepLaMalfa,office
75,Duncan Hunter,house,R,Rep_Hunter,office
76,Ed Royce,house,R,EdRRoyce,campaign
77,Ed Royce,house,R,RepEdRoyce,office
78,Eric Swalwell,house,D,ericswalwell,campaign
79,Eric Swalwell,house,D,RepSwalwell,office
80,Gil Cisneros,house,D,RepGilCisneros,office
81,Gil Cisneros,house,D,GilCisnerosCA,campaign
82,Grace Napolitano,house,D,gracenapolitano,office
83,Grace Napolitano,house,D,grace4congress,campaign
84,Harley Rouda,house,D,HarleyRouda,campaign
85,Harley Rouda,house,D,RepHarley,office
86,Jackie Speier,house,D,RepSpeier,office
87,Jackie Speier,house,D,JackieSpeier,campaign
88,Jared Huffman,house,D,JaredHuffman,campaign
89,Jared Huffman,house,D,RepHuffman,office
90,Jay Obernolte,house,R,JayObernolte,office
91,Jay Obernolte,house,R,TeamObernolte,campaign
92,Jeff Denham,house,R,JeffDenham,campaign
93,Jeff Denham,house,R,RepJeffDenham,office
94,Jerry McNerney,house,D,jerrymcnerney,campaign
95,Jerry McNerney,house,D,RepMcNerney,office
96,Jim Costa,house,D,RepJimCosta,office
97,Jimmy Gomez,house,D,JimmyGomezCA,campaign
98,Jimmy Gomez,house,D,RepJimmyGomez,office
99,Jimmy Panetta,house,D,JimmyPanetta,campaign
100,Jimmy Panetta,house,D,RepJimmyPanetta,office
