,name,chamber,type,party,accounts,id,state,prev_props
0,ASEAN Caucus,house,caucus,N/A,"[{'id': '899998766845100032', 'screen_name': 'ASEANCaucus', 'account_type': 'office'}]",,,
1,Blue Collar Caucus,house,caucus,D,"[{'id': '817097052375187457', 'screen_name': 'BlueCollarDems', 'account_type': 'office'}]",,,
2,Blue Dog Coalition,house,caucus,D,"[{'id': '224685124', 'screen_name': 'HouseBlueDogs', 'account_type': 'office'}]",,,
3,Congressional Antitrust Caucus,house,caucus,D,"[{'id': '951207213728698374', 'screen_name': 'AntitrustCaucus', 'account_type': 'office'}]",{},,
4,Congressional Asian Pacific American Caucus,house,caucus,D,"[{'id': '192955168', 'screen_name': 'CAPAC', 'account_type': 'office'}]",,,
5,Congressional Black Caucus,house,caucus,D,"[{'id': '204966625', 'screen_name': 'CBCPAC', 'account_type': 'campaign'}, {'id': '233783568', 'screen_name': 'TheBlackCaucus', 'account_type': 'office', 'prev_names': ['OfficialCBC']}]",,,
6,Congressional Caucus on Black Women & Girls,house,caucus,N/A,"[{'id': '836297375647936518', 'screen_name': 'CBWGCAUCUS', 'account_type': 'office'}]",,,
7,Congressional Health Caucus,house,caucus,R,"[{'id': '20020575', 'screen_name': 'HealthCaucus', 'account_type': 'office'}]",,,
8,Congressional Pro-Choice Caucus,house,caucus,D,"[{'id': '809505942186455041', 'screen_name': 'ProChoiceCaucus', 'account_type': 'office'}]",,,
9,Congressional Progressive Caucus,house,caucus,D,"[{'id': '246088673', 'screen_name': 'USProgressives', 'account_type': 'office'}]",,,
10,Congressional Western Caucus,house,caucus,R,"[{'id': '144986277', 'screen_name': 'westerncaucus', 'account_type': 'office'}]",,,
11,Democracy Reform Task Force,house,caucus,D,"[{'id': '819992111407919104', 'screen_name': 'House_DRTF', 'account_type': 'office'}]",{},,
12,Democratic Women's Caucus,house,caucus,D,"[{'id': '890675418780618753', 'screen_name': 'DemWomenCaucus', 'account_type': 'office', 'prev_names': ['HouseDemWomen', 'DemWomenCaucus', 'HouseDemWomen']}]",{},,
13,Financial Literacy Caucus,house,caucus,N/A,"[{'id': '1564057105', 'screen_name': 'FinLitCaucus', 'account_type': 'office'}]",,,
14,GOP Doctors Caucus,house,caucus,R,"[{'id': '119899270', 'screen_name': 'gopdoccaucus', 'account_type': 'office'}]",,,
15,Hispanic Caucus,house,caucus,D,"[{'id': '33530012', 'screen_name': 'HispanicCaucus', 'account_type': 'office'}]",,,
16,House Freedom Caucus,house,caucus,R,"[{'id': '562989744', 'screen_name': 'conversations', 'account_type': 'office'}, {'id': '2990729241', 'screen_name': 'freedomcaucus', 'account_type': 'office'}]",,,
17,House Liberty Caucus,house,caucus,R,"[{'id': '426862142', 'screen_name': 'libertycaucus', 'account_type': 'office'}]",,,
18,LGBT Equality Caucus,house,caucus,D,"[{'id': '1392282998', 'screen_name': 'LGBTEqCaucus', 'account_type': 'office'}]",,,
19,Maker Caucus,house,caucus,N/A,"[{'id': '2398066861', 'screen_name': 'MakerCaucus', 'account_type': 'office'}]",,,
20,Media Fairness Caucus,house,caucus,R,"[{'id': '819251374500278272', 'screen_name': 'FairMediaCaucus', 'account_type': 'office'}]",,,
21,New Democrat Coalition,house,caucus,D,"[{'id': '761783018', 'screen_name': 'NewDemCoalition', 'account_type': 'office', 'prev_names': ['HouseNewDems']}]",,,
22,Pre-K Caucus,house,caucus,N/A,"[{'id': '739868998771322880', 'screen_name': 'PreKCaucus', 'account_type': 'office'}]",,,
23,Republican Study,house,caucus,R,"[{'id': '22528309', 'screen_name': 'RepublicanStudy', 'account_type': 'office', 'prev_names': ['RepublicanStudy Committee']}]",,,
24,Republican Women's Policy Committee,house,caucus,R,"[{'id': '1322558402', 'screen_name': 'LadiesGOP', 'account_type': 'office'}]",,,
25,Safe Climate Caucus,house,caucus,D,"[{'id': '2792540601', 'screen_name': 'caucusonclimate', 'account_type': 'office'}]",,,
26,Sustainable Energy & Environment Coalition,house,caucus,D,"[{'id': '29205600', 'screen_name': 'seec', 'account_type': 'office'}]",,,
27,Term Limits Caucus,house,caucus,N/A,"[{'id': '874372521365319685', 'screen_name': 'HouseTermLimits', 'account_type': 'office'}]",,,
28,U.S. Japan Caucus,house,caucus,N/A,"[{'id': '4746326067', 'screen_name': 'USJapanCaucus', 'account_type': 'office'}]",,,
