,author,statement,source,target
0,Jason Asenso,"['solar', 'panel', 'farms', 'cause', 'hundreds', 'thousands', 'birds', 'hit', 'magnified', 'sun', 'explode', 'flame', '...', 'going', 'bring', 'nation']",Louie Gohmert,half-true
1,Tom Kertscher,"['donald', 'trump', '2020', 'said', 'he', 'trusted', 'taliban', 'set', 'motion', 'even', 'earlier', 'exit', 'afghanistan']",Occupy Democrats,half-true
2,Tom Kertscher,"['mayo', 'clinic', 'study', 'shows', 'pfizer', 'vaccine', 'dropped', '42', '%', 'effective']",Instagram posts,half-true
3,Ciara O'Rourke,"['says', 'cnn', 'said', 'taliban', 'fighters', 'responsibly', 'wearing', 'masks']",Viral image,false
4,Ciara O'Rourke,"['says', 'cnn', 'news', 'organizations', 'tweeted', 'journalist', 'executed', 'kabul', 'taliban', 'fighters']",Viral image,false
5,Andy Nguyen,"['six-month', 'study', 'pfizer', 'shows', 'vaccine', 'reduces', 'severe', 'covid', 'symptoms', 'hospitalizations', '1', '%']",Instagram posts,barely-true
6,Ciara O'Rourke,"['says', 'nancy', 'pelosi', 'executed']",Viral image,pants-fire
7,Ciara O'Rourke,"['photo', 'shows', 'cnn', 'chyron', 'afghanistan', 'says', 'violent', 'mostly', 'peaceful', 'transfer', 'power']",Viral image,false
8,Warren Fiske,"['general', 'assembly', 'gave', 'gov', 'ralph', 'northam', '$', '1', 'billion', 'blank', 'check']",David Suetterlein,barely-true
9,Laura Schulte,"['says', 'uw-madison', 'cost', 'university', '$', '50k', 'tax', 'dollars', 'remove', 'rock', 'considered', 'symbol', 'racism']",Rachel Campos-Duffy,pants-fire
10,Ciara O'Rourke,"['rand', 'paul', 'medical', 'license', 'revoked']",Facebook posts,pants-fire
11,Cassidey Kavathas,"['every', 'time', 'outgoing', 'new', 'york', 'gov', 'andrew', 'cuomo', 'says', 'firearm', 'industry', 'immune', 'lawsuits', 'false']",Elise Stefanik,mostly-true
12,Paul Specht,"['united', 'states', 'southern', 'border', 'basically', 'open', 'super', 'spreader', 'event']",Gary Sides,false
13,Gabrielle Settles,"['0.05', '%', 'chance', 'dying', 'covid']",TikTok posts,false
14,Brandon Mulder,"['biden', 'administration', 'even', 'testing', 'people', 'released', 'border', 'patrol', 'u']",Ken Paxton,barely-true
15,Madeline Heim,"['324,000', 'pregnant', 'people', 'experience', 'domestic', 'violence', 'pregnancy']",Gwen Moore,true
16,Jason Asenso,"['says', 'actor', 'mike', 'mitchell', 'died', 'covid', '19', 'booster', 'shot']",Instagram posts,false
17,Tom Kertscher,"['federal', 'infrastructure', 'bill', 'includes', 'pilot', 'program', 'national', 'motor', 'vehicle', 'per-mile', 'user', 'fee', 'basically', 'long-term', 'plan', 'make', 'expensive', 'drive', 'car']",Viral image,barely-true
18,Gabrielle Settles,"['flights', 'across', 'america', 'backed', 'airline', 'crews', 'refusing', 'mandated', 'jab', 'walking', 'boarded', 'flights']",Facebook posts,false
19,Ciara O'Rourke,"['says', 'gen', 'david', 'h', 'berger', 'said', 'mandatory', 'vaccinations', 'marines']",Facebook posts,pants-fire
20,Amy Sherman,"['white', 'house', 'plans', 'call', 'lockdowns', 'due', 'delta', 'variant', 'aiming', 'late', '2nd', 'week', 'august', 'per', 'wh', 'official']",Jack Posobiec,false
21,Madison Czopek,"['unusual', 'hospitals', 'sit', 'max', 'near', 'max', 'capacity', 'given', 'day']",Erin Marie Olszewski,half-true
22,Ciara O'Rourke,"['photo', 'shows', 'ron', 'desantis', 'holding', 'shirt', 'says', 'mask', 'useless', 'joe', 'biden']",Viral image,false
23,Ciara O'Rourke,"['says', 'kathy', 'hochul', 'nancy', 'pelosi', 'stepsister']",Facebook posts,false
24,Tom Kertscher,"['says', 'surge', 'covid', '19', 'cases', 'caused', 'antibody', 'mediated', 'viral', 'enhancement', 'covid', '19', 'vaccines']",Dan Stock,pants-fire
25,Victoria Knight,"['centers', 'disease', 'control', 'prevention', 'recent', 'guidance', 'students', 'masking', 'lacks', 'well-grounded', 'scientific', 'justification']",Ron DeSantis,false
26,Ciara O'Rourke,"['cnn', 'jeffrey', 'toobin', 'analyzing', 'andrew', 'cuomo', 'sexual', 'harassment', 'allegations', 'legal', 'expert']",Viral image,false
27,D.L. Davis,"['we', 'replacement', 'birth', 'rates', 'we', 'people', 'leaving', 'state', 'coming', 'last', '30', 'years']",Kurt Bauer,half-true
28,Ciara O'Rourke,"['slain', 'chicago', 'police', 'officer', 'left', 'behind', 'two-month-old', 'baby']",Facebook posts,false
29,Tom Kertscher,"['suggests', 'suspicious', 'link', 'covid', '19', 'delta', 'variant', 'company', 'named', 'delta', 'works', '5g']",Viral image,false
30,Tom Kertscher,"['ivermectin', 'effective', 'treatment', 'covid', '19']",Viral image,barely-true
31,Warren Fiske,"['we', 'actually', 'critical', 'race', 'theory', 'moved', 'our', 'schools', 'virginia']",Glenn Youngkin,false
32,Ciara O'Rourke,"['pfizer', 'ceo', 'israel', 'visit', 'canceled', 'he', 'fully', 'vaccinated']",Viral image,barely-true
33,Tom Kertscher,"['need', 'show', 'proof', 'anything', 'indoors', 'new', 'york', 'city', 'vote']",Viral image,half-true
34,Tom Kertscher,"['vaccine', 'adverse', 'event', 'recording', 'system', 'shows', '5,946', 'people', 'died', 'covid', '19', 'vaccine']",TikTok posts,false
35,Tom Kertscher,"['unvaccinated', 'people', 'making', 'vaccinated', 'people', 'sick', 'die', 'unvaccinated', 'people', 'dead', 'sick']",Viral image,false
36,Tom Kertscher,"['says', 'fewer', '2,000', 'confirmed', 'covid', '19', 'hospitalizations', 'u']",Viral image,false
37,Monique Curet,"['pfizer', 'vaccine', 'completely', 'worthless', 'israel', '80', '%', 'covid', '19', 'patients', 'previously', 'vaccinated']",Facebook posts,false
38,Ciara O'Rourke,"['due', 'new', 'delta', 'variant', 'california', 'mailing', 'ballots', 'recall', 'election']",Viral image,false
39,Jason Asenso,"['survival', 'rate', 'covid', '19', '99', '%', 'age', 'groups']",Instagram posts,false
40,Tom Kertscher,"['sweden', 'covid', 'deaths', 'july', 'despite', 'low', 'vaccination', 'rates', 'relaxed', 'lockdown', 'rules', 'low', 'mask', 'compliance']",Steve Deace,half-true
41,Ciara O'Rourke,"['delta', 'delta', 'variant', 'means', 'deep', 'sleep']",Viral image,false
42,Sabine Martin,"['2040', '70', '%', 'population', 'expected', 'live', '15', 'states']",J.D. Scholten,mostly-true
43,Louis Jacobson,"['says', 'joe', 'biden', 'driven', 'current', 'coronavirus', 'surge', 'he', 'imported', 'virus', 'around', 'world', 'wide', 'open', 'southern', 'border']",Ron DeSantis,false
44,Ciara O'Rourke,"['photo', 'shows', 'laurel', 'hubbard', 'winning', ""women's"", 'weight', 'lifting', 'competition', 'olympics']",Viral image,false
45,Paul Specht,"['people', 'died', 'opioid', 'overdose', 'north', 'carolina', 'recent', 'years', 'died', 'covid']",Josh Stein,barely-true
