,author,statement,source,target
0,Tom Kertscher,“Mayo Clinic study shows Pfizer vaccine dropped to 42% effective.”,Instagram posts,half-true
1,Ciara O'Rourke,Says CNN said “Taliban fighters responsibly wearing masks.”,Viral image,false
2,Ciara O'Rourke,Says CNN and other news organizations tweeted that a journalist was executed in Kabul by Taliban fighters.,Viral image,false
3,Andy Nguyen,A six-month study from Pfizer shows that its vaccine “reduces severe COVID symptoms/hospitalizations by .1%.”,Instagram posts,barely-true
4,Ciara O'Rourke,Says “Nancy Pelosi has been executed.”,Viral image,pants-fire
5,Ciara O'Rourke,"Photo shows CNN chyron about Afghanistan that says, “Violent but mostly peaceful transfer of power.”",Viral image,false
6,Warren Fiske,The General Assembly gave Gov. Ralph Northam “a $1 billion blank check.”,David Suetterlein,barely-true
7,Laura Schulte,"Says of UW-Madison, ""It cost the university $50k (your tax dollars) to remove"" a rock considered by some a symbol of racism.",Rachel Campos-Duffy,pants-fire
8,Ciara O'Rourke,“Rand Paul’s medical license was just revoked!”,Facebook posts,pants-fire
9,Cassidey Kavathas,"Every time outgoing New York Gov. Andrew Cuomo “says the firearm industry ‘is immune from lawsuits,’ it's false.”",Elise Stefanik,mostly-true
10,Paul Specht,"The United States' southern border is ""basically open"" and is ""a super spreader event.”",Gary Sides,false
11,Gabrielle Settles,There is a “0.05% chance of dying from COVID.”,TikTok posts,false
12,Brandon Mulder,The Biden administration is “not even testing these people” being released by Border Patrol into the U.S.,Ken Paxton,barely-true
13,Madeline Heim,"“324,000 pregnant people experience domestic violence during their pregnancy.”",Gwen Moore,true
14,Jason Asenso,Says actor Mike Mitchell died because of a COVID-19 booster shot.,Instagram posts,false
15,Tom Kertscher,"The federal infrastructure bill includes “a pilot program for a national motor vehicle per-mile user fee, which is basically a long-term plan to make it too expensive to drive a car.""",Viral image,barely-true
16,Gabrielle Settles,Flights across America are backed up because airline crews are “refusing the mandated jab” and walking off boarded flights.,Facebook posts,false
17,Ciara O'Rourke,"Says Gen. David H. Berger said, “No mandatory vaccinations for my Marines.”",Facebook posts,pants-fire
18,Amy Sherman,"The White House plans to call for lockdowns due to the delta variant and is “aiming for late 2nd week of August, per WH official.”",Jack Posobiec,false
19,Madison Czopek,“It’s not unusual for hospitals to sit at max or near max capacity on any given day.”,Erin Marie Olszewski,half-true
20,Ciara O'Rourke,"Photo shows Ron DeSantis holding a shirt that says, “Your mask is as useless as Joe Biden.”",Viral image,false
21,Ciara O'Rourke,Says Kathy Hochul is Nancy Pelosi’s stepsister.,Facebook posts,false
22,Tom Kertscher,Says the surge in COVID-19 cases is caused by “antibody mediated viral enhancement” from the COVID-19 vaccines.,Dan Stock,pants-fire
23,Victoria Knight,The Centers for Disease Control and Prevention’s recent guidance on students and masking “lacks a well-grounded scientific justification.”,Ron DeSantis,false
24,Ciara O'Rourke,CNN had “Jeffrey Toobin on analyzing the Andrew Cuomo sexual harassment allegations as their legal expert.”,Viral image,false
25,D.L. Davis,“We are not having replacement birth rates. We have had more people leaving the state than coming in over the last 30 years.”,Kurt Bauer,half-true
26,Ciara O'Rourke,A slain Chicago police officer left behind a two-month-old baby.,Facebook posts,false
27,Tom Kertscher,Suggests a suspicious link between the COVID-19 delta variant and company named Delta that works in 5G.,Viral image,false
28,Tom Kertscher,Ivermectin is an effective treatment for COVID-19.,Viral image,barely-true
29,Warren Fiske,“We actually have this critical race theory moved into all our schools in Virginia.”,Glenn Youngkin,false
30,Ciara O'Rourke,“Pfizer CEO’s Israel visit canceled because he is not fully vaccinated.”,Viral image,barely-true
31,Tom Kertscher,"""I will need to show proof to do anything indoors in” New York City, “but not when I vote?""",Viral image,half-true
32,Tom Kertscher,"“The Vaccine Adverse Event Recording System shows that 5,946 people have died because of the” COVID-19 vaccine.",TikTok posts,false
33,Tom Kertscher,"Unvaccinated people “are making the vaccinated people sick and die, but the unvaccinated people are not dead or sick.”",Viral image,false
34,Tom Kertscher,"Says there are fewer than 2,000 confirmed COVID-19 hospitalizations in the U.S.",Viral image,false
35,Monique Curet,“Pfizer vaccine now completely worthless in Israel as >80% of all COVID-19 patients were previously vaccinated.”,Facebook posts,false
36,Ciara O'Rourke,“Due to the new ‘delta variant’ California will be mailing in ballots for recall election.”,Viral image,false
37,Jason Asenso,The survival rate for COVID-19 is over 99% for most age groups.,Instagram posts,false
38,Tom Kertscher,"Sweden had few COVID deaths in July, despite low vaccination rates, relaxed lockdown rules and low mask compliance.",Steve Deace,half-true
39,Ciara O'Rourke,The “delta” in “delta variant” means “deep sleep.”,Viral image,false
40,Sabine Martin,"“By 2040, 70% of the population is expected to live in just 15 states.”",J.D. Scholten,mostly-true
41,Louis Jacobson,Says Joe Biden has driven the current coronavirus surge because he “imported more virus from around the world by having a wide open southern border.”,Ron DeSantis,false
